Class,User,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7
2,2,100.4871931,65.94736583,-57.14066997,145.9953466,68.93886979,104.2664869,82.38026625,135.7646966,-4.240909487,90.74963053,44.60873387,-60.18129636,76.17472185,17.54604895,-62.26957208,5.111529201,128.2439091,15.81613505,70.72583602,86.94307704,-12.05198586,1.335025868,88.74060848,13.94733341
2,2,100.9321919,65.92115963,-56.54966657,145.9575491,68.61155126,104.6978523,82.53582566,135.6915839,-3.766588758,76.15349458,17.68678126,-62.2525737,70.66997953,87.01154701,-11.89246384,91.14283669,44.63091341,-59.68796095,61.12767802,151.1311357,10.34977081,1.437656777,88.66961058,14.20350895
2,2,30.5244159,147.8885884,18.02767623,62.2054877,151.0893826,11.12678527,70.17391625,86.97813863,-11.997253,82.7629726,135.8096603,-3.051957259,92.6908601,44.29398795,-57.81530756,145.697396,71.30666819,103.085867,0.600250927,88.89903625,13.36165559,100.7824647,66.00638788,-56.40449488
2,2,101.0761544,66.80019729,-55.1561132,82.09119856,136.0343835,-1.847424348,70.56039765,87.01087287,-10.49788746,3.689875644,128.319003,15.31044598,58.62589314,151.9534299,9.888934861,94.39063369,44.943325,-55.84496339,28.55850787,148.0833913,17.94025248,143.8747565,71.38955873,104.1051189
2,2,61.32134491,151.4721896,9.622929093,82.40183631,136.0205134,-3.988958638,69.64290139,87.15851754,-12.83960576,92.05482691,44.38089863,-58.59909728,29.86473506,148.0973208,16.80354466,100.9805368,65.97412669,-56.4871694,145.2707676,72.62940605,101.940558,0.440187037,89.09987727,12.88818782
2,2,70.07487468,87.06317758,-11.84733545,62.58216325,151.012628,11.87954696,144.5985006,71.32888438,102.1530587,82.41461684,135.8733794,-2.973929919,0.974158677,88.8565421,13.95210166,92.60438185,44.40515993,-57.82796979,30.40093236,147.7314728,18.2733557,100.9340258,66.15992796,-56.10158124
2,2,61.58826089,151.372485,10.76339411,82.42608448,136.0034673,-3.113667561,69.923107,87.17308706,-12.08810993,92.36715291,44.62798297,-58.01679754,144.0223037,72.18591839,101.5496284,29.89990913,148.064,17.63069038,0.650682656,89.07311077,13.5387811,6.849272083,127.8562219,16.60196265
2,2,70.81138157,87.08141614,-9.698013212,83.51192712,135.6343242,0.189446365,101.6647035,66.99851683,-54.18793532,60.21181509,151.4736194,12.13153463,30.4959132,147.7224709,20.42693439,143.8427963,69.62931689,104.9425186,-0.477753369,89.2826316,13.00057166,78.61503441,18.2925613,-59.77944371
2,2,62.03889725,151.2339553,10.95448954,82.13546447,136.0087011,-3.586273041,70.08253274,87.01987192,-12.07116556,144.1209287,72.22435974,101.3147863,0.841707731,89.15299711,13.70009599,92.43795456,44.39342865,-58.00558973,100.5311052,66.24032759,-56.66456472,29.85961055,147.8958531,17.38238147
2,2,81.87040299,135.8854592,-2.523575815,70.09482399,87.03530385,-11.16612787,94.11266868,44.43903706,-56.06921075,100.8340718,66.59390686,-55.62024465,28.60547494,147.6580998,18.47851757,3.639267362,128.2139234,15.64312496,59.50233098,151.1640628,10.87241069,-1.657097834,89.13204757,12.02929847
2,2,101.390576,67.43232228,-54.02552413,-1.832107698,89.34008853,12.81769462,82.26570976,135.7989486,0.176745157,61.20168411,150.8817463,14.81402278,30.01880226,147.3605659,21.75644166,143.2537285,68.52148656,106.2044782,71.02022336,86.92891458,-8.885877255,78.15982082,18.86079127,-59.91973476
2,2,100.8695447,67.63722297,-54.58677964,82.23908607,135.8539931,0.033018235,29.00756796,147.6356943,20.52087478,-1.006739975,89.0201748,13.61923091,60.11078171,151.2462164,13.49950493,94.03573279,45.42876832,-55.4951533,70.76925686,86.99114279,-9.278933178,78.66066597,18.76687815,-59.40629409
2,2,60.65389917,151.3070139,12.20753326,30.89126842,147.6400122,20.48172713,70.84166474,86.99809518,-9.899729019,101.8385846,66.700776,-54.14733303,143.8968502,69.40709257,104.7728667,83.84321607,135.4119931,0.242022158,7.000667584,127.4323986,18.67003702,93.56904493,44.97410808,-56.4877487
2,2,30.71204081,147.9201013,18.00206255,61.64648011,151.2994403,10.50641305,70.14534669,87.02077003,-12.13413501,92.54863466,44.39440783,-58.02734747,82.95817153,135.8029523,-3.050206289,146.031461,71.43532502,103.4300448,4.859591373,128.1517107,14.7228439,100.6078308,66.03039991,-56.70320506
2,2,70.10973166,87.09244475,-11.84763454,30.35577435,147.8134324,18.23958445,62.77799056,150.9644578,11.97058904,144.3547025,71.58264441,102.0536293,82.41072566,135.9074709,-3.024156378,-1.084176664,89.62728033,11.87374364,92.46541393,44.42051727,-57.96935214,101.0235793,66.15767753,-56.05425939
