Class,User,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7
2,0,63.55496949,98.49098841,11.16592013,49.1598311,154.3307302,32.00416754,92.79312364,137.1432018,1.064904036,80.8548705,93.68965565,-5.062411269,95.2070491,73.67228177,-74.30734609,58.42136186,27.49963363,-71.71308056,12.66046242,95.07714422,29.664434,84.11011537,151.5454558,16.89114653
2,0,80.87381231,93.72253691,-4.988815991,63.57210343,98.47663757,11.24290767,49.14270024,154.3470497,32.07693685,95.21197333,73.66536745,-74.25233917,58.45593275,27.47687302,-71.6298235,20.57364562,132.9134549,35.34924685,92.94204386,137.1828173,1.297511148,35.48010414,99.73901929,22.80224331
2,0,80.7751504,93.70528304,-5.090903535,63.47960861,98.42952424,11.16141252,48.92411079,154.3403382,31.88585304,79.40095259,54.80317481,-72.15161125,93.05485551,137.1444921,1.487330157,95.2618622,73.71916425,-74.22277764,20.49949482,132.8633768,35.30954402,58.29788194,27.58389247,-71.88844942
2,0,80.61816433,93.78146061,-5.012812005,63.21312984,98.46291869,11.04509507,48.77743458,154.3272835,32.06045162,79.42618047,54.95381946,-72.16335936,35.41895549,99.64996154,22.98448499,93.0739101,137.2151557,1.859117233,83.40449341,151.7443591,16.54277292,95.31484023,73.90025343,-73.89450542
2,0,79.87041275,93.92119201,-5.628230992,79.23956973,55.19785194,-72.37400825,48.44694693,154.215388,32.29816747,62.63397496,98.50611248,10.5811197,35.23959904,99.54029192,23.14291361,96.29363639,74.09341909,-72.68306328,83.27968879,151.6290682,16.99905902,58.0506143,27.98028665,-72.37974832
2,0,79.04772557,55.43875101,-72.55954553,83.59869873,151.4594608,17.85336369,96.92638026,74.20672355,-71.65474347,35.48816627,99.37672844,23.77254014,80.11845437,93.85615086,-5.061439463,62.30961735,98.51849839,10.36493105,13.07203509,94.72138283,30.95331089,48.97587962,154.0594567,33.30969814
2,0,78.7724529,55.7314552,-72.85049646,35.65203248,99.28023872,24.24178623,84.01033014,151.3155258,18.77939905,97.40969383,74.36629335,-70.75198052,62.50239967,98.4253354,10.92097105,20.94448688,132.2942744,37.45516593,79.98336181,93.85917303,-5.008803166,12.89393482,94.62158434,30.97223263
2,0,78.65968016,55.76670433,-72.97269941,35.46722093,99.20958419,23.92183396,21.45986882,132.157819,38.06770378,97.43540956,74.38540844,-70.65670657,84.04101425,151.213338,18.5794823,62.46755741,98.36072344,10.7211774,49.43268833,153.8004894,34.11837086,79.73459954,93.83694527,-5.463557988
2,0,78.57608359,55.82015341,-73.05773243,21.6874198,132.0500107,38.46191271,83.99015912,151.1029285,18.52383352,57.29682388,28.59604144,-73.3853892,97.48028614,74.42265079,-70.47046124,62.60926173,98.28199022,10.98870095,35.47283559,99.08619067,23.98712471,79.60193832,93.82341975,-5.623741002
2,0,21.06841626,132.2640121,37.48509421,78.97369209,55.72656021,-72.75750743,57.12393022,28.53198994,-73.58265142,83.82433601,151.1805073,18.09541642,35.30540196,99.14947499,23.69971549,62.61779978,98.33504836,10.90453749,79.63502224,93.82099619,-5.733265255,49.69395628,153.6928494,34.42039397
